,0.05,0.25,0.5,0.75,0.95,invest_amount
224,29700471139337,49529441435401,69493239048661,96430248160516,156918686935985,1966
225,32974348441279,54870688489920,77170905100760,107092677378250,173678717618842,1966
226,36535172448324,60743664450180,85523338153753,118804280766162,192284757060845,1966
227,40422877815010,67221722270439,94667946685872,131503884758839,212858650088414,1966
228,44658113851270,74407083812868,104688700647195,145535463564383,237168564767114,2074
229,49401886178896,82383600089759,116013893800093,161143074009218,263015315349817,2074
230,54452790292813,91057644342619,128491380176473,178631848695154,292099479904602,2074
231,60186665642369,100706248211768,142410460609355,198022515037847,324853282746528,2074
232,66561144596805,111404149840541,157408193587521,219290712285479,359884271596299,2074
233,73622354401955,123556300780233,174514532671171,243215102999366,397945155630387,2074
234,81287877464205,136505728019073,193368249855656,269895715705475,443055355357068,2074
235,89369051441962,150944063107466,214645843619098,298803621972479,491426124080937,2074
236,99102172941885,166942864262345,237333116672511,330903389682533,546370470764898,2074
237,109831579244172,184760981040821,262539489412872,367450948582312,603192585746481,2074
238,121096236548972,204599414334571,290550800756208,407049234151970,669960761391383,2074
239,133493634965914,226781714587549,322081411133909,451988924113537,743165984585607,2074
